isla_fix,cluster_dbscan,n_fotos,lat,lon,fecha_min,fecha_max,Local,Turista,Desconocido,p_turista,p_local,n_fotos_turistico,n_fotos_local,nivel_turistico,nivel_local,indice_turista,r90_m
Fuerteventura,51,26,28.462513,-14.03954,2023-02-11 15:31:06,2026-02-20 18:58:53,0.8461538461538461,0.15384615384615385,0.0,0.15384615384615385,0.8461538461538461,4,22,1,4,-0.6923076923076923,47.48150273348529
Fuerteventura,13,25,28.634799,-14.027009,2021-05-20 16:43:55,2025-11-02 23:03:21,0.0,0.2,0.8,0.2,0.0,5,0,1,1,0.2,90.97535161596812
Fuerteventura,30,25,28.187657,-14.12904,2021-12-14 11:00:51,2024-06-29 23:07:42,0.92,0.08,0.0,0.08,0.92,2,23,1,4,-0.8400000000000001,239.6705826103268
Fuerteventura,66,25,28.502708,-13.851208,2026-02-19 19:17:53,2026-02-19 19:19:30,1.0,0.0,0.0,0.0,1.0,0,25,1,4,-1.0,0.09493529796600342
Fuerteventura,34,23,28.350783,-14.107664,2022-01-24 12:52:58,2026-02-19 12:37:19,0.391304347826087,0.6086956521739131,0.0,0.6086956521739131,0.391304347826087,14,9,3,2,0.2173913043478261,130.54411967682634
Fuerteventura,44,23,28.414317,-13.859499,2022-09-02 08:55:58,2022-12-02 12:23:00,0.0,1.0,0.0,1.0,0.0,23,0,4,1,1.0,94.14700520381149
Fuerteventura,43,20,28.417912,-13.852096,2022-09-02 07:34:34,2022-09-02 08:45:47,0.0,1.0,0.0,1.0,0.0,20,0,4,1,1.0,230.07484751959868
Fuerteventura,68,20,28.182872,-14.153759,2026-02-27 18:53:34,2026-02-27 18:54:35,1.0,0.0,0.0,0.0,1.0,0,20,1,4,-1.0,0.09493529796600342
Fuerteventura,40,18,28.407754,-13.8502995,2022-08-28 18:16:44,2025-05-16 07:59:48,0.16666666666666666,0.7777777777777778,0.05555555555555555,0.7777777777777778,0.16666666666666666,14,3,4,1,0.6111111111111112,174.92935764848292
Fuerteventura,45,18,28.414336,-13.8560985,2022-09-02 07:23:43,2023-04-15 16:34:22,0.0,0.9444444444444444,0.05555555555555555,0.9444444444444444,0.0,17,0,4,1,0.9444444444444444,180.10627229250923
Fuerteventura,56,17,28.58015,-13.95722,2021-12-10 12:10:57,2025-03-25 18:26:17,0.0,0.9411764705882353,0.058823529411764705,0.9411764705882353,0.0,16,0,4,1,0.9411764705882353,126.90853311310656
Fuerteventura,1,16,28.388591,-14.101763,2021-01-13 17:28:01,2024-12-10 13:47:22,0.0,0.3125,0.6875,0.3125,0.0,5,0,2,1,0.3125,161.3871036012698
Fuerteventura,24,16,28.206715,-14.026417,2021-10-06 12:51:27,2023-04-21 14:51:55,0.5,0.375,0.125,0.375,0.5,6,8,2,3,-0.125,133.49494657894718
Fuerteventura,53,16,28.406227,-14.157675,2023-04-15 13:52:52,2025-06-14 14:29:20,0.75,0.25,0.0,0.25,0.75,4,12,2,4,-0.5,92.01061671789729
