isla_fix,cluster_hdbscan,Desconocido,Local,Turista
Gran Canaria,90,0.0,0.0,1.0
Gran Canaria,91,0.0,0.0,1.0
Gran Canaria,92,0.14285714285714285,0.12698412698412698,0.7301587301587301
Gran Canaria,93,0.023255813953488372,0.11627906976744186,0.8604651162790697
Gran Canaria,94,0.0,0.9666666666666667,0.03333333333333333
Gran Canaria,95,0.2826086956521739,0.43478260869565216,0.2826086956521739
Gran Canaria,96,0.0,0.9285714285714286,0.07142857142857142
Gran Canaria,97,0.02631578947368421,0.013157894736842105,0.9605263157894737
Gran Canaria,98,0.0,1.0,0.0
Gran Canaria,99,0.0,0.0,1.0
Gran Canaria,100,0.0,0.9375,0.0625
Gran Canaria,101,0.04583333333333333,0.1125,0.8416666666666667
Gran Canaria,102,0.14705882352941177,0.47058823529411764,0.38235294117647056
Gran Canaria,103,0.14084507042253522,0.07042253521126761,0.7887323943661971
Gran Canaria,104,0.10309278350515463,0.1134020618556701,0.7835051546391752
Gran Canaria,105,0.0625,0.0,0.9375
Gran Canaria,106,0.013157894736842105,0.0,0.9868421052631579
Gran Canaria,107,1.0,0.0,0.0
Gran Canaria,108,0.948051948051948,0.012987012987012988,0.03896103896103896
Gran Canaria,109,0.987012987012987,0.0,0.012987012987012988
Gran Canaria,110,0.9655172413793104,0.017241379310344827,0.017241379310344827
Gran Canaria,111,0.6129032258064516,0.0,0.3870967741935484
Gran Canaria,112,0.9047619047619048,0.09523809523809523,0.0
Gran Canaria,113,0.1206896551724138,0.13793103448275862,0.7413793103448276
Gran Canaria,114,0.02857142857142857,0.0,0.9714285714285714
Gran Canaria,115,0.02040816326530612,0.24489795918367346,0.7346938775510204
Gran Canaria,116,0.92,0.08,0.0
Gran Canaria,117,0.1016949152542373,0.8813559322033898,0.01694915254237288
Gran Canaria,118,0.025974025974025976,0.06493506493506493,0.9090909090909091
Gran Canaria,119,0.8857142857142857,0.02857142857142857,0.08571428571428572
Gran Canaria,120,0.5135135135135135,0.02702702702702703,0.4594594594594595
Gran Canaria,121,0.0,0.3157894736842105,0.6842105263157895
Gran Canaria,122,0.0,0.0,1.0
Gran Canaria,123,1.0,0.0,0.0
Gran Canaria,124,0.0,0.0,1.0
Gran Canaria,125,1.0,0.0,0.0
Gran Canaria,126,1.0,0.0,0.0
Gran Canaria,127,0.14285714285714285,0.0,0.8571428571428571
Gran Canaria,128,0.8842105263157894,0.11578947368421053,0.0
Gran Canaria,129,0.10714285714285714,0.0,0.8928571428571429
Gran Canaria,130,0.16326530612244897,0.0,0.8367346938775511
Gran Canaria,131,0.0,0.0,1.0
Gran Canaria,132,0.0,0.0,1.0
Gran Canaria,133,0.21153846153846154,0.11538461538461539,0.6730769230769231
Gran Canaria,134,0.9487179487179487,0.05128205128205128,0.0
Gran Canaria,135,0.04,0.013333333333333334,0.9466666666666667
Gran Canaria,136,0.0641025641025641,0.21794871794871795,0.717948717948718
Gran Canaria,137,0.0,0.0,1.0
Gran Canaria,138,0.0,0.0,1.0
Gran Canaria,139,1.0,0.0,0.0
Gran Canaria,140,1.0,0.0,0.0
Gran Canaria,141,0.11475409836065574,0.22950819672131148,0.6557377049180327
Gran Canaria,142,0.10240963855421686,0.39156626506024095,0.5060240963855421
